iter	Passed	Remaining
0	148	148410
1	150	74952
2	157	52184
3	158	39582
4	160	32003
5	162	26942
6	164	23326
7	166	20592
8	168	18510
9	170	16922
10	174	15652
11	176	14514
12	178	13546
13	180	12691
14	184	12117
15	186	11460
16	188	10871
17	189	10343
18	191	9872
19	192	9450
20	194	9066
21	198	8818
22	200	8508
23	201	8210
24	203	7936
25	205	7683
26	206	7450
27	208	7234
28	209	7031
29	214	6945
30	217	6783
31	219	6629
32	220	6470
33	222	6322
34	224	6181
35	228	6115
36	230	5986
37	231	5865
38	233	5748
39	234	5638
40	236	5531
41	238	5432
42	240	5360
43	242	5272
44	244	5193
45	246	5112
46	248	5031
47	250	4959
48	252	4891
49	256	4865
50	258	4800
51	259	4733
52	261	4667
53	265	4659
54	267	4598
55	270	4561
56	272	4513
57	274	4455
58	275	4399
59	277	4344
60	278	4290
61	280	4241
62	281	4193
63	285	4181
64	287	4137
65	289	4093
66	290	4048
67	292	4005
68	293	3963
69	295	3928
70	297	3888
71	300	3871
72	302	3837
73	303	3800
74	305	3764
75	306	3731
76	308	3696
77	309	3663
78	311	3631
79	313	3599
80	316	3594
81	318	3564
82	319	3527
83	320	3497
84	322	3469
85	324	3443
86	325	3417
87	329	3410
88	330	3386
89	332	3361
90	334	3338
91	335	3315
92	337	3294
93	339	3271
94	341	3251
95	344	3248
96	346	3225
97	348	3203
98	349	3180
99	351	3159
100	352	3137
101	354	3117
102	355	3096
103	359	3098
104	361	3081
105	362	3061
106	364	3042
107	366	3023
108	367	3004
109	369	2986
110	370	2968
111	374	2965
112	375	2950
113	377	2933
114	378	2916
115	380	2900
116	381	2881
117	383	2864
118	384	2848
119	386	2832
120	389	2831
121	391	2814
122	392	2799
123	394	2787
124	396	2774
125	398	2761
126	399	2746
127	401	2734
128	405	2739
129	407	2726
130	409	2714
131	410	2701
132	412	2689
133	414	2676
134	415	2665
135	420	2672
136	422	2660
137	424	2651
138	426	2639
139	427	2628
140	429	2618
141	430	2603
142	434	2603
143	436	2595
144	439	2588
145	441	2580
146	443	2573
147	446	2569
148	451	2576
149	452	2566
150	454	2555
151	456	2544
152	457	2534
153	459	2523
154	460	2512
155	463	2509
156	466	2503
157	468	2494
158	470	2487
159	472	2479
160	473	2466
161	475	2461
162	480	2466
163	482	2459
164	484	2451
165	486	2442
166	487	2433
167	489	2425
168	498	2453
169	501	2448
170	504	2443
171	506	2440
172	516	2467
173	540	2564
174	542	2556
175	544	2547
176	546	2539
177	548	2531
178	550	2523
179	552	2518
180	555	2512
181	557	2505
182	559	2500
183	562	2493
184	564	2487
185	567	2485
186	570	2480
187	572	2474
188	575	2467
189	577	2461
190	579	2454
191	583	2454
192	585	2447
193	588	2443
194	590	2436
195	592	2431
196	595	2425
197	602	2439
198	604	2432
199	606	2426
200	608	2420
201	611	2415
202	617	2426
203	620	2419
204	622	2413
205	624	2406
206	627	2402
207	633	2411
208	636	2407
209	638	2400
210	640	2394
211	642	2386
212	648	2397
213	650	2390
214	652	2381
215	654	2374
216	655	2366
217	657	2358
218	662	2362
219	664	2355
220	666	2348
221	668	2341
222	670	2334
223	671	2326
224	677	2331
225	679	2325
226	680	2318
227	682	2311
228	684	2303
229	686	2297
230	687	2289
231	693	2296
232	695	2290
233	697	2284
234	699	2277
235	701	2270
236	703	2264
237	707	2266
238	709	2259
239	711	2252
240	712	2245
241	714	2238
242	716	2231
243	717	2224
244	721	2222
245	722	2215
246	724	2208
247	726	2202
248	728	2195
249	729	2188
250	734	2190
251	736	2184
252	737	2177
253	739	2170
254	740	2163
255	742	2156
256	744	2152
257	748	2152
258	750	2147
259	752	2140
260	753	2133
261	755	2127
262	756	2120
263	758	2113
264	759	2107
265	763	2106
266	765	2100
267	766	2094
268	768	2087
269	769	2081
270	771	2074
271	772	2068
272	774	2061
273	776	2057
274	779	2054
275	780	2048
276	782	2042
277	784	2036
278	786	2032
279	788	2027
280	790	2021
281	792	2018
282	794	2013
283	796	2007
284	798	2002
285	799	1997
286	801	1991
287	803	1986
288	805	1981
289	807	1977
290	809	1972
291	811	1967
292	812	1961
293	814	1955
294	816	1950
295	817	1944
296	820	1943
297	823	1938
298	824	1934
299	826	1928
300	828	1922
301	829	1917
302	831	1911
303	832	1906
304	836	1905
305	838	1900
306	839	1895
307	841	1890
308	842	1885
309	844	1879
310	846	1874
311	847	1868
312	851	1868
313	852	1863
314	854	1858
315	856	1853
316	857	1847
317	859	1842
318	860	1837
319	862	1832
320	864	1828
321	866	1825
322	868	1820
323	870	1815
324	871	1810
325	873	1805
326	875	1801
327	876	1796
328	880	1795
329	882	1791
330	884	1787
331	886	1783
332	888	1779
333	890	1774
334	891	1769
335	893	1766
336	896	1763
337	898	1758
338	900	1754
339	901	1750
340	903	1746
341	905	1741
342	907	1738
343	910	1735
344	912	1731
345	913	1727
346	915	1722
347	916	1717
348	918	1713
349	919	1708
350	922	1705
351	925	1703
352	926	1698
353	928	1694
354	929	1689
355	931	1685
356	933	1680
357	934	1676
358	937	1673
359	940	1671
360	942	1668
361	944	1664
362	946	1661
363	948	1657
364	951	1655
365	954	1653
366	957	1650
367	958	1646
368	960	1642
369	961	1637
370	963	1633
371	965	1629
372	968	1627
373	969	1623
374	971	1619
375	973	1614
376	974	1610
377	976	1606
378	977	1601
379	979	1597
380	981	1594
381	983	1591
382	985	1587
383	987	1583
384	988	1579
385	990	1575
386	992	1572
387	996	1572
388	998	1568
389	1000	1564
390	1001	1560
391	1003	1556
392	1004	1552
393	1006	1548
394	1008	1543
395	1011	1543
396	1013	1539
397	1015	1535
398	1017	1531
399	1018	1527
400	1020	1523
401	1021	1519
402	1023	1516
403	1027	1515
404	1029	1511
405	1030	1507
406	1032	1503
407	1035	1502
408	1037	1498
409	1038	1494
410	1042	1493
411	1043	1489
412	1045	1486
413	1047	1482
414	1048	1478
415	1050	1474
416	1052	1470
417	1056	1470
418	1058	1468
419	1060	1464
420	1063	1461
421	1065	1459
422	1067	1456
423	1070	1454
424	1073	1452
425	1075	1448
426	1077	1445
427	1079	1442
428	1081	1439
429	1084	1437
430	1089	1438
431	1091	1435
432	1094	1432
433	1096	1430
434	1099	1427
435	1104	1429
436	1107	1427
437	1110	1424
438	1112	1421
439	1115	1419
440	1121	1421
441	1123	1418
442	1125	1414
443	1126	1411
444	1128	1407
445	1130	1404
446	1134	1403
447	1136	1400
448	1137	1396
449	1139	1393
450	1142	1390
451	1144	1387
452	1147	1385
453	1150	1383
454	1152	1380
455	1155	1377
456	1156	1374
457	1158	1371
458	1161	1368
459	1164	1366
460	1166	1363
461	1168	1360
462	1171	1358
463	1173	1355
464	1179	1357
465	1182	1354
466	1184	1351
467	1186	1348
468	1194	1352
469	1197	1350
470	1200	1347
471	1202	1345
472	1204	1342
473	1210	1343
474	1213	1341
475	1215	1337
476	1217	1334
477	1219	1331
478	1223	1331
479	1225	1328
480	1227	1324
481	1229	1321
482	1231	1318
483	1232	1314
484	1234	1310
485	1237	1309
486	1239	1305
487	1241	1302
488	1243	1299
489	1244	1295
490	1246	1292
491	1248	1288
492	1249	1285
493	1253	1283
494	1255	1280
495	1256	1277
496	1258	1273
497	1260	1270
498	1261	1266
499	1263	1263
500	1264	1259
501	1271	1260
502	1272	1257
503	1274	1254
504	1276	1251
505	1278	1248
506	1283	1248
507	1285	1245
508	1287	1241
509	1289	1238
510	1291	1235
511	1292	1232
512	1294	1228
513	1298	1228
514	1300	1225
515	1302	1222
516	1304	1218
517	1306	1215
518	1309	1213
519	1312	1211
520	1315	1209
521	1317	1206
522	1319	1203
523	1321	1200
524	1324	1198
525	1327	1196
526	1329	1193
527	1331	1190
528	1333	1187
529	1335	1184
530	1337	1181
531	1339	1178
532	1342	1176
533	1344	1173
534	1346	1170
535	1348	1167
536	1351	1165
537	1353	1162
538	1354	1158
539	1358	1157
540	1360	1154
541	1362	1151
542	1364	1148
543	1366	1145
544	1370	1144
545	1373	1142
546	1375	1139
547	1377	1136
548	1379	1133
549	1380	1129
550	1382	1126
551	1384	1123
552	1389	1122
553	1390	1119
554	1392	1116
555	1394	1113
556	1396	1110
557	1398	1107
558	1404	1107
559	1406	1104
560	1408	1102
561	1409	1098
562	1411	1095
563	1413	1092
564	1414	1089
565	1418	1087
566	1420	1084
567	1422	1081
568	1424	1078
569	1425	1075
570	1427	1072
571	1429	1069
572	1431	1066
573	1434	1064
574	1436	1061
575	1437	1058
576	1439	1055
577	1440	1051
578	1442	1048
579	1444	1045
580	1446	1043
581	1449	1041
582	1451	1037
583	1452	1034
584	1454	1031
585	1456	1028
586	1457	1025
587	1459	1022
588	1461	1019
589	1463	1017
590	1465	1014
591	1467	1011
592	1469	1008
593	1470	1005
594	1472	1002
595	1474	999
596	1479	998
597	1480	995
598	1482	992
599	1484	989
600	1485	986
601	1487	983
602	1488	980
603	1490	977
604	1494	975
605	1496	972
606	1497	969
607	1499	966
608	1500	963
609	1502	960
610	1503	957
611	1505	954
612	1509	953
613	1511	950
614	1513	947
615	1514	944
616	1516	941
617	1517	938
618	1519	935
619	1522	933
620	1524	930
621	1526	927
622	1527	924
623	1529	921
624	1530	918
625	1532	915
626	1534	912
627	1536	910
628	1538	907
629	1540	904
630	1542	901
631	1543	898
632	1545	896
633	1547	893
634	1549	890
635	1553	888
636	1555	886
637	1557	883
638	1558	880
639	1560	877
640	1563	875
641	1568	874
642	1571	872
643	1573	869
644	1577	868
645	1580	865
646	1585	864
647	1587	862
648	1589	859
649	1595	859
650	1601	858
651	1603	855
652	1606	853
653	1608	851
654	1611	848
655	1616	847
656	1632	852
657	1635	849
658	1637	847
659	1640	845
660	1642	842
661	1650	842
