iter	Passed	Remaining
0	137	137175
1	138	69334
2	140	46668
3	141	35323
4	143	28514
5	144	23971
6	146	20733
7	148	18369
8	149	16505
9	151	15010
10	153	13794
11	155	12816
12	157	11943
13	159	11232
14	161	10601
15	163	10083
16	167	9665
17	169	9225
18	171	8834
19	172	8464
20	174	8126
21	176	7838
22	177	7555
23	179	7296
24	180	7057
25	183	6860
26	184	6665
27	186	6478
28	188	6301
29	190	6146
30	191	5994
31	193	5847
32	194	5710
33	196	5585
34	198	5465
35	199	5350
36	201	5242
37	203	5139
38	204	5050
39	206	4956
40	208	4868
41	209	4783
42	211	4703
43	213	4633
44	216	4601
45	220	4576
46	222	4510
47	224	4458
48	226	4394
49	228	4334
50	230	4286
51	232	4229
52	235	4202
53	237	4168
54	239	4118
55	241	4065
56	242	4013
57	243	3962
58	245	3914
59	246	3866
60	249	3840
61	251	3802
62	252	3761
63	254	3720
64	255	3680
65	257	3640
66	258	3601
67	259	3554
68	260	3518
69	262	3482
70	265	3470
71	267	3445
72	268	3412
73	270	3379
74	271	3348
75	272	3317
76	274	3287
77	275	3257
78	276	3228
79	279	3218
80	281	3196
81	283	3169
82	284	3144
83	285	3118
84	286	3088
85	288	3065
86	289	3036
87	290	3013
88	292	2990
89	295	2990
90	297	2971
91	298	2950
92	300	2931
93	302	2912
94	303	2893
95	305	2877
96	307	2860
97	311	2868
98	313	2849
99	314	2830
100	315	2811
101	316	2787
102	318	2770
103	319	2752
104	320	2735
105	322	2717
106	325	2718
107	327	2703
108	328	2688
109	330	2672
110	331	2656
111	333	2640
112	334	2625
113	335	2609
114	337	2594
115	339	2590
116	341	2580
117	343	2566
118	344	2550
119	345	2536
120	347	2523
121	348	2510
122	349	2492
123	350	2478
124	352	2466
125	355	2465
126	357	2457
127	358	2441
128	359	2429
129	361	2417
130	362	2405
131	363	2393
132	365	2381
133	366	2371
134	369	2368
135	371	2358
136	372	2349
137	374	2337
138	375	2327
139	377	2317
140	378	2308
141	382	2308
142	389	2331
143	393	2337
144	411	2429
145	414	2421
146	420	2438
147	422	2431
148	427	2439
149	440	2493
150	442	2490
151	451	2516
152	453	2512
153	455	2502
154	457	2492
155	458	2480
156	459	2469
157	461	2458
158	464	2458
159	467	2452
160	468	2443
161	470	2434
162	473	2431
163	475	2424
164	479	2426
165	481	2420
166	483	2411
167	485	2402
168	487	2395
169	488	2386
170	490	2377
171	493	2373
172	494	2364
173	496	2357
174	500	2358
175	502	2353
176	504	2345
177	507	2342
178	508	2333
179	510	2325
180	511	2313
181	513	2306
182	514	2297
183	516	2289
184	517	2281
185	519	2273
186	521	2268
187	523	2260
188	524	2252
189	526	2246
190	528	2238
191	529	2230
192	531	2222
193	533	2215
194	534	2207
195	536	2200
196	538	2193
197	539	2186
198	541	2178
199	542	2171
200	544	2164
201	546	2157
202	547	2150
203	549	2143
204	550	2136
205	552	2128
206	553	2121
207	555	2115
208	559	2117
209	562	2116
210	564	2110
211	565	2103
212	567	2097
213	570	2096
214	572	2090
215	574	2083
216	575	2076
217	576	2069
218	578	2062
219	583	2067
220	584	2060
221	586	2055
222	588	2048
223	589	2043
224	591	2038
225	593	2032
226	598	2038
227	600	2032
228	602	2027
229	603	2020
230	604	2013
231	606	2007
232	607	2000
233	610	1997
234	612	1994
235	614	1988
236	615	1983
237	617	1976
238	618	1970
239	620	1964
240	621	1957
241	623	1952
242	627	1954
243	628	1948
244	630	1943
245	632	1937
246	633	1931
247	634	1925
248	636	1919
249	637	1912
250	640	1910
251	642	1907
252	644	1902
253	645	1897
254	647	1891
255	648	1885
256	650	1879
257	651	1873
258	652	1867
259	656	1867
260	658	1863
261	659	1857
262	661	1852
263	662	1847
264	664	1842
265	665	1837
266	667	1831
267	668	1826
268	670	1822
269	672	1817
270	673	1812
271	674	1806
272	676	1801
273	677	1795
274	679	1790
275	680	1785
276	681	1779
277	684	1778
278	686	1772
279	687	1767
280	688	1762
281	690	1757
282	691	1752
283	693	1747
284	694	1742
285	695	1737
286	697	1732
287	699	1730
288	701	1725
289	702	1720
290	704	1715
291	705	1710
292	706	1705
293	708	1700
294	709	1696
295	711	1691
296	713	1687
297	714	1683
298	715	1678
299	717	1673
300	718	1668
301	719	1664
302	721	1659
303	722	1654
304	724	1650
305	725	1645
306	727	1641
307	728	1637
308	730	1632
309	731	1627
310	732	1623
311	734	1619
312	735	1614
313	736	1610
314	738	1605
315	739	1601
316	741	1596
317	742	1593
318	744	1588
319	745	1584
320	746	1579
321	748	1575
322	749	1571
323	751	1566
324	752	1562
325	753	1558
326	755	1554
327	756	1550
328	758	1546
329	759	1542
330	761	1538
331	762	1534
332	763	1529
333	765	1525
334	766	1521
335	767	1517
336	769	1513
337	770	1509
338	772	1506
339	774	1502
340	775	1498
341	776	1494
342	778	1490
343	779	1486
344	780	1482
345	782	1478
346	789	1485
347	795	1489
348	796	1485
349	797	1481
350	799	1477
351	800	1473
352	801	1469
353	803	1466
354	804	1462
355	806	1458
356	807	1454
357	809	1451
358	810	1447
359	812	1443
360	813	1439
361	814	1435
362	816	1432
363	817	1429
364	819	1425
365	820	1421
366	822	1418
367	823	1414
368	825	1410
369	826	1407
370	827	1403
371	829	1399
372	830	1396
373	832	1393
374	834	1390
375	835	1387
376	837	1383
377	838	1379
378	839	1376
379	841	1372
380	842	1368
381	843	1365
382	845	1361
383	847	1359
384	848	1355
385	850	1352
386	851	1348
387	852	1345
388	854	1342
389	855	1338
390	857	1335
391	858	1331
392	860	1328
393	861	1325
394	863	1321
395	864	1318
396	865	1315
397	867	1311
398	868	1308
399	869	1304
400	871	1301
401	872	1298
402	874	1294
403	875	1291
404	877	1288
405	878	1285
406	880	1282
407	881	1279
408	882	1275
409	884	1272
410	885	1269
411	886	1265
412	888	1262
413	889	1259
414	891	1256
415	893	1253
416	894	1250
417	895	1247
418	897	1244
419	898	1240
420	900	1237
421	901	1234
422	902	1231
423	904	1229
424	906	1226
425	908	1224
426	909	1221
427	911	1217
428	912	1214
429	913	1211
430	915	1208
431	916	1205
432	918	1202
433	919	1199
434	921	1196
435	922	1193
436	923	1190
437	925	1187
438	926	1184
439	928	1181
440	929	1178
441	930	1175
442	932	1172
443	933	1169
444	935	1166
445	936	1163
446	938	1160
447	939	1157
448	941	1154
449	942	1151
450	943	1148
451	945	1146
452	946	1143
453	948	1140
454	949	1137
455	951	1134
456	952	1131
457	954	1129
458	955	1126
459	956	1123
460	958	1120
461	959	1117
462	961	1114
463	962	1111
464	963	1108
465	965	1106
466	967	1103
467	968	1100
468	969	1098
469	971	1095
470	972	1092
471	974	1089
472	975	1086
473	976	1084
474	978	1081
475	979	1078
476	981	1076
477	982	1073
478	984	1070
479	985	1067
480	987	1065
481	988	1062
482	989	1059
483	991	1056
484	992	1053
485	993	1051
486	995	1048
487	997	1046
488	998	1043
489	1000	1041
490	1001	1038
491	1003	1036
492	1005	1034
493	1008	1033
494	1009	1030
495	1013	1029
496	1014	1027
497	1017	1025
498	1018	1022
499	1020	1020
500	1021	1017
501	1022	1014
502	1024	1012
503	1026	1010
504	1028	1008
505	1029	1005
506	1031	1002
